wall_time,t,ciclo,sender,receiver,performative,bytes,delay_s,dropped
1788504463.961653,,,market,concentrator_alimentador_650,reject-proposal,1296,21.005622,0
1788504463.962962,,,market,dso,reject-proposal,1140,16.700444,0
1788504464.019098,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,0.234875,0
1788504464.022423,,ciclo3_AM_AC_AD,market,dso,cfp,100,2.423948,0
1788504464.217705,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1230,18.465568,0
1788504464.334370,,ciclo3_AM_AC_AD,dso,market,propose,1252,21.332107,0
1788504464.555223,,,market,concentrator_alimentador_650,reject-proposal,1338,21.267181,0
1788504464.556231,,,market,dso,reject-proposal,1328,20.942396,0
1788504464.610856,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,0.305517,0
1788504464.613843,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.268950,0
1788504464.804676,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1358,22.865057,0
1788504464.932374,,ciclo3_AM_AC_AD,dso,market,propose,1469,24.250395,0
1788504465.181638,,,market,concentrator_alimentador_650,reject-proposal,1406,22.509306,0
1788504465.182655,,,market,dso,reject-proposal,1182,19.548917,0
1788504465.237112,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,2.168544,0
1788504465.239975,,ciclo3_AM_AC_AD,market,dso,cfp,100,1.578066,0
1788504465.511696,,ciclo3_AM_AC_AD,concentrator_alimentador_650,market,propose,1042,18.972931,0
1788504465.574989,,ciclo3_AM_AC_AD,dso,market,propose,1166,20.656974,0
1788504465.787256,,,market,concentrator_alimentador_650,reject-proposal,1313,21.045912,0
1788504465.788225,,,market,dso,reject-proposal,1059,16.604306,0
1788504465.843583,,ciclo3_AM_AC_AD,market,concentrator_alimentador_650,cfp,100,3.123279,0
1788504465.846355,,ciclo3_AM_AC_AD,market,dso,cfp,100,0.423111,0
